Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Style Chrome;Kn2;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/20_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Viral;Viral;Ilustración;Aerosol;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/18_CLL26_P1_C_N_A_VIRAL_DAVID_PATARROYO.jpg;;
Robs;Robs;Writing;Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/23_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Rata Roja;Hueso;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/12_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Recorriendo La Ciudad;Indigo;Ilustración;Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_4_DAVID_PATARROYO.jpeg;;
En La Juega;Gruterium;Caracter;Aerosol;Carrera 7 - Tramo 3;Calle 26 Con Carrera 14 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_18_ALEJANDRO_LOZANO%20Large.jpeg;;
Fuego Negro;Prolet;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 10 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/11_KR7_MARATON_WEB_PRODUCCION_16_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 10 - Punto 7;Corredor - Carrera 10 - Punto 7;https://idartesencasa.gov.co/sites/default/files/2023-12/05_KR10_P7_CAT_AED_PANO_JORGE_RAVELO.jpeg;;
Sin Título;Xxxx;Writing / Ilustración;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/12_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Coexistencia Pacífica;Esuno, Snek;Realismo, Retrato;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental Centro;https://idartesencasa.gov.co/sites/default/files/2023-09/15_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Libélula;Felipe Novoa;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/12_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Chapinero Corazón De Bogotá;Wosnan;Ilustración;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/40_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
El Dorado;Onix;Ilustración / Lettering;Aerosol / Vinilo;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/15_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Mago Oscuro;Eggo, Virus One;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/1_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Trolley;Seucy Maldonado;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/33_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Perdónanos Porque No Sabemos Lo Que Hacemos;Shaday;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/32_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Lenguaje Universal;Dom;Ilustración;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/01_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sueños Que No Duermen;Jaam;Ilustración;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/34_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Rapto De Ganímedes;Tigers Vibes;Muralismo;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/07_CAT_P3_TIGERS.VIBES_VICTOR_CALIXTO.jpg;;
El Mundo Es Tuyo;Neve;Graffiti Y Writing;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/08_KR7_MARATON_WEB_PRODUCCION_5_GARETH_SELLA.jpg;;
Guetto-Rap;Daco;Lettering E Ilustración;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Alma;Laure One;Stencil;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_7_GARETH_SELLA%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 13 - Punto 3;;https://idartesencasa.gov.co/sites/default/files/2023-12/06_KR13_P3_PANO_FOTO_ALTA_JORGE_RAVELO.jpeg;;
