Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Sin Título;Kio;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/57_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI%20%281%29.jpg;;
Iridiscencia;Arpía;Retrato;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/20_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Bemva;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/58_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI%20%281%29.jpg;;
Sin Título;Bomber - Bekam;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/59_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
Homenaje A Saint;Smukone;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/21_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;David Hoyos Osorio;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/60_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
Homenaje Sain;Fuck Yes;Retrato;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/22_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Chack;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/61_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
El Mundo Según K;Kn2;Writting -3D;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/23_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Warioker;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/62_WEB_KRA7_BOGOTARROS_WARIORKER_0.jpg;;
Amor;Sky;Ilustración;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/24_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Skyzo;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/63_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI%20%281%29.jpg;;
Cielo;Skie;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/25_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Dus;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/64_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI%20%281%29.jpg;;
Memorias;La De Los Mamarrachos;Ilustración;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/26_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Kiki;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/65_WEB_KRA7_BOGOTARROS_ELSETAZ_0.jpg;;
Sin Título;Spec;;;Carrera 14 - Punto 2 - Tramo 5;Avenida Caracas Entre Calle 22 Y 23 Sur;https://idartesencasa.gov.co/sites/default/files/2024-05/65-27_KR14_P2_CAT_03_JUL_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Kiki;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/65_WEB_KRA7_BOGOTARROS_ELSETAZ.jpg;;
Colores Rolos;Krecer;Ilustración;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/28_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Legado;Letra;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/29_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Skum;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/67_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI%20%281%29.jpg;;
La Leyenda De El Dorado;Beos El Jou;Caracter;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/30_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Skema;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/68_WEB_KRA7_BOGOTARROS_SKEMA_0.jpg;;
Horizontal;Marcevil;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/31_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Uruz;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/69_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI%20%281%29.jpg;;
Herencia Y Memoria;Witch;Caracter;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 6;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/32_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Black Panda;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/70_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI%20%281%29.jpg;;
Persevera;Tabs;Caracter;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 7;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/33_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;90´S York, Cans;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/71_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI_.jpg;;
Excavar;3E;Caracter;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 7;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/34_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ_0.jpg;;
Muisca;Lutar;Caracter;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 7;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/35_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Anfibio;Dom;Caracter;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 7;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/36_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Muxe;Muxe;Caracter;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 7;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/37_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Jaguar;Oper;Retrato Animal;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 7;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/38_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Liwecx Yahtx;Blank;Retrato;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/44_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Las Nadie;9Mm;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/45_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Malicia Indigena;Cos;Vinilo Y Aerosol;Retrato Fantastico;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/46_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Nuestro Gran Tesoro;Wekem;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/47_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Costumbres;Vann;Retrato Stencil;Vinilo, Aerosol Y Stencil;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/48_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Graffiti Ancestral;Neas;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/49_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Pacha Mama;B.One;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/50_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Mi Herencia Es La Calle;Signar;Stencil;Vinilo, Aerosol Y Stencil;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/39_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Tejiendo Arte;Free;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/41_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Abeja Ancestral;Sirko;Ilustración;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/42_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Wild Ancestral;Zoes;Writing - Wildstyle;Vinilo Y Aerosol;Carrera 14 - Punto 2 - Tramo 8;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/43_KR14_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Bogotá;Varios;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 9;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/pano1.jpg;;
Distopia;Zancudo;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 9;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/01_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Digno Rebusque;Caucalic;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 9;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/02_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Mundo Onirico;Verbo;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 9;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/03_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Inmortal;Gotm;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 9;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/04_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Lesly;5Am;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 9;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/05_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Resiliencia;Alter;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 9;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/06_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Los De Al Frente;Einar Arit;Vinilo;Neo Mural-Ilustracion;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/07_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
De Donde Vengo Yo;Ache -B;Vinilo Y Aerosol;Neo Mural-Ilustracion;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/08_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Equilibrio;Hadez;Vinilo Y Aerosol;Retrato;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/09_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Palma De Corozo;Bonie;Vinilo;Neo Mural-Ilustracion;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/10_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
La Creación;Rezzo;Vinilo;Neo Mural-Ilustracion;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/11_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Barbara;Monareta;Vinilo;Ilustracion;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/12_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Endemico Y En Peligro;Tinyo Y Tinta;Vinilo;Ilustracion;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/13_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Amor De Barrio;Cjay;Vinilo Y Aerosol;Writing, Retrato Animal;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/14_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Hacia La Luz;Bufa;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/15_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Territorio;Bleert;Vinilo Y Aerosol;Neo Mural-Ilustracion;Carrera 14 - Punto 3 - Tramo 10;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/16_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Guarichas Fuerza Ingobernable;Fique;Vinilo Y Aerosol;Writing Y Lettering;Carrera 14 - Punto 3 - Tramo 11;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/17_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Guarichas Fuerza Ingobernable;Fique;Vinilo Y Aerosol;Writing Y Lettering;Carrera 14 - Punto 3 - Tramo 11;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/18_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Guarichas Fuerza Ingobernable;Irakunda;Vinilo Y Aerosol;Estencil;Carrera 14 - Punto 3 - Tramo 11;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/19_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Fuerza De Los Andes;Akrata;Vinilo Y Aerosol;Estencil;Carrera 14 - Punto 3 - Tramo 11;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/20_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Guarichas Fuerza Ingobernable;Trust;Vinilo Y Aerosol;Estencil;Carrera 14 - Punto 3 - Tramo 11;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/21_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Guarichas Fuerza Ingobernable;Niña Planta;Vinilo Y Aerosol;Caracter;Carrera 14 - Punto 3 - Tramo 11;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/22_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Tributo A Los Recicladores;Sheen;Vinilo Y Aerosol;Ilustración;Carrera 14 - Punto 3 - Tramo 11;Carrera 14;https://idartesencasa.gov.co/sites/default/files/2023-10/23_KRA14_P3_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Pecas;Retratos Y Graffiti Wildstyle;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 12 Sur - 55 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-12/01_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Feel Ip;Retrato Fantástico;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 12 Sur - 55;https://idartesencasa.gov.co/sites/default/files/2023-12/02_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Skol;Graffiti Wildstyle;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas  No. 12 Sur - 55;https://idartesencasa.gov.co/sites/default/files/2023-12/03_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Baron;Mural Retrato Surreal;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 12 Bis Sur 64;https://idartesencasa.gov.co/sites/default/files/2023-12/07_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Dafter/Plus;Ilustración / Graffiti Writing  3D Y Trowups;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 12 Bis Sur 64;https://idartesencasa.gov.co/sites/default/files/2023-12/06_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Virtualukaz;Mural  Collage;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 64;https://idartesencasa.gov.co/sites/default/files/2023-12/08_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Supra;Supra;Graffiti Writing Wildstyle;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 64;https://idartesencasa.gov.co/sites/default/files/2023-12/09_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Dr Greenthumb;Ceser (España);Ilustración - Graffiti 3D Orgánico;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 64;https://idartesencasa.gov.co/sites/default/files/2023-12/10_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Flavorz Crew;Ilustración - Graffiti 3D Model Pastel;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 64;https://idartesencasa.gov.co/sites/default/files/2023-12/11_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Seta Fuerte/ Croes;Retrato  Graffiti - Writing 3D Model Pastel;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 64;https://idartesencasa.gov.co/sites/default/files/2023-12/12_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Sang;Personaje - Graffiti 3D;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 12 Bis Sur 64;https://idartesencasa.gov.co/sites/default/files/2023-12/13_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Soter;Graffiti Writing Wildstyle;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 64;https://idartesencasa.gov.co/sites/default/files/2023-12/14_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Ruge;Personaje;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 64;https://idartesencasa.gov.co/sites/default/files/2023-12/15_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Pac Dunga;Personaje  Graffiti Writing  3D;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 12 Bis Sur 64;https://idartesencasa.gov.co/sites/default/files/2023-12/04_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Zie Crix;Personaje Y  Graffiti Writing Orgánico;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas No. 12 Bis Sur 64;https://idartesencasa.gov.co/sites/default/files/2023-12/05_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Razas;Funny;Retrato;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas Con 12 Sur - Bodega;https://idartesencasa.gov.co/sites/default/files/2023-12/16_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Razas;Weks;Graffiti Writing - Wild Style;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas Con 12 Sur - Bodega;https://idartesencasa.gov.co/sites/default/files/2023-12/17_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Razas;Yuca;Retrato;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Av. Caracas Con 12 Sur - Bodega;https://idartesencasa.gov.co/sites/default/files/2023-12/18_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Kiki;Muralismo;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 37 D Sur No. 14 – 02;https://idartesencasa.gov.co/sites/default/files/2023-12/29_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Babakid;Ilustración  - Abstracto;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 37 D Sur No. 14 – 02;https://idartesencasa.gov.co/sites/default/files/2023-12/30_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Kash;Character - Graffiti Writing 3D;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No.13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/19_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Dus;Retrato - Ilustración;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No. 13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/20_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Scrawl;Graffiti Writing - Wild Style;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No. 13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/21_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Shaday;Wild Style;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No. 13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/22_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;No Outline;Ilustración 3D;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No.13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/23_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Gsk;Graffiti Writing - Wild Style;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No.13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/24_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Nativo;Abstracto;Aerosol Y Vinilo;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No.13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/25_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Sosek;Graffiti Wildstyle;Vinilo Y Aerosol;Carrera 14 - Festival De Arte Urbano Gráficas Del Sur;Calle 28 No. 13 A – 20 Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/26_KR14_FGS_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
